Gene Set	AUC	p-value	FDR	Rank
sarsPathway	0.30303	0.971	0.997102	506
Il12Pathway	0.301248	0.971	0.997102	506
ST_Interferon_gamma_Pathway	0.30303	0.971	0.997102	506
ketonebodiesPathway	0.2959	0.975	0.997102	509
SIG_CHEMOTAXIS	0.294118	0.975	0.997102	509
MAP00600_Sphingoglycolipid_metabolism	0.297683	0.977	0.997102	511
longevityPathway	0.2959	0.978	0.997102	512
lechtinPathway	0.286988	0.981	0.997284	513
compPathway	0.28877	0.982	0.997284	514
p27Pathway	0.285205	0.985	0.997823	515
gcrPathway	0.28164	0.988	0.997823	516
flumazenilPathway	0.270945	0.989	0.997823	517
lymphocytePathway	0.262032	0.993	0.997823	518
akap96Pathway	0.265597	0.993	0.997823	518
telPathway	0.262032	0.994	0.997823	520
tnfr1Pathway	0.222816	0.998	0.999916	521
rbPathway	0.172906	1	1	522
